id;title;photo;date;description
1;Présentation des équipes;uploads/evens/cd1874e0b11603428d18b8d1c2eb8ac2.jpg;2017-04-02;<h3>Lorem ipsum dolor sit amet</h3><p>Consectetur <strong>adipisicing</strong> elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.</p><h3>Ut enim ad minim veniam</h3><ul><li>quis nostrud</li><li>exercitation ullamco</li><li>laboris nisi</li><li>ut aliquip</li><li>ex ea commodo consequat</li><p>Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.</p><p>Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</p>
2;Chrismas Basket;uploads/evens/cd1874e0b11603428d18b8d1c2eb8ac2.jpg;2017-04-23;<h3>Lorem ipsum dolor sit amet</h3><p>Consectetur <strong>adipisicing</strong> elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.</p><h3>Ut enim ad minim veniam</h3><ul><li>quis nostrud</li><li>exercitation ullamco</li><li>laboris nisi</li><li>ut aliquip</li><li>ex ea commodo consequat</li><p>Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.</p><p>Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</p>
3;Souper Saint Nicolas;uploads/evens/cd1874e0b11603428d18b8d1c2eb8ac2.jpg;2017-06-01;<h3>Lorem ipsum dolor sit amet</h3><p>Consectetur <strong>adipisicing</strong> elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.</p><h3>Ut enim ad minim veniam</h3><ul><li>quis nostrud</li><li>exercitation ullamco</li><li>laboris nisi</li><li>ut aliquip</li><li>ex ea commodo consequat</li><p>Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.</p><p>Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</p>
4;Soirée du président;uploads/evens/cd1874e0b11603428d18b8d1c2eb8ac2.jpg;2017-07-07;<h3>Lorem ipsum dolor sit amet</h3><p>Consectetur <strong>adipisicing</strong> elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.</p><h3>Ut enim ad minim veniam</h3><ul><li>quis nostrud</li><li>exercitation ullamco</li><li>laboris nisi</li><li>ut aliquip</li><li>ex ea commodo consequat</li><p>Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.</p><p>Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</p>
5;Souper de noël;uploads/evens/cd1874e0b11603428d18b8d1c2eb8ac2.jpg;2017-09-14;<h3>Lorem ipsum dolor sit amet</h3><p>Consectetur <strong>adipisicing</strong> elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.</p><h3>Ut enim ad minim veniam</h3><ul><li>quis nostrud</li><li>exercitation ullamco</li><li>laboris nisi</li><li>ut aliquip</li><li>ex ea commodo consequat</li><p>Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.</p><p>Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</p>
6;Présentation des équipes;uploads/evens/cd1874e0b11603428d18b8d1c2eb8ac2.jpg;2017-10-20;<h3>Lorem ipsum dolor sit amet</h3><p>Consectetur <strong>adipisicing</strong> elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.</p><h3>Ut enim ad minim veniam</h3><ul><li>quis nostrud</li><li>exercitation ullamco</li><li>laboris nisi</li><li>ut aliquip</li><li>ex ea commodo consequat</li><p>Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.</p><p>Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</p>
7;Christmas Basket;uploads/evens/cd1874e0b11603428d18b8d1c2eb8ac2.jpg;2017-11-02;<h3>Lorem ipsum dolor sit amet</h3><p>Consectetur <strong>adipisicing</strong> elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.</p><h3>Ut enim ad minim veniam</h3><ul><li>quis nostrud</li><li>exercitation ullamco</li><li>laboris nisi</li><li>ut aliquip</li><li>ex ea commodo consequat</li><p>Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.</p><p>Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</p>
8;Stage initiation basket;uploads/evens/cd1874e0b11603428d18b8d1c2eb8ac2.jpg;2017-11-08;<h3>Lorem ipsum dolor sit amet</h3><p>Consectetur <strong>adipisicing</strong> elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.</p><h3>Ut enim ad minim veniam</h3><ul><li>quis nostrud</li><li>exercitation ullamco</li><li>laboris nisi</li><li>ut aliquip</li><li>ex ea commodo consequat</li><p>Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.</p><p>Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</p>
9;Souper tombola;uploads/evens/cd1874e0b11603428d18b8d1c2eb8ac2.jpg;2017-11-12;<h3>Lorem ipsum dolor sit amet</h3><p>Consectetur <strong>adipisicing</strong> elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.</p><h3>Ut enim ad minim veniam</h3><ul><li>quis nostrud</li><li>exercitation ullamco</li><li>laboris nisi</li><li>ut aliquip</li><li>ex ea commodo consequat</li><p>Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.</p><p>Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</p>
10;Finals de coup AWBB;uploads/evens/cd1874e0b11603428d18b8d1c2eb8ac2.jpg;2017-11-01;<h3>Lorem ipsum dolor sit amet</h3><p>Consectetur <strong>adipisicing</strong> elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.</p><h3>Ut enim ad minim veniam</h3><ul><li>quis nostrud</li><li>exercitation ullamco</li><li>laboris nisi</li><li>ut aliquip</li><li>ex ea commodo consequat</li><p>Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.</p><p>Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</p>
